artist_id,genres,name,popularity
1RyvyyTE3xzB2ZywiAwp0i,atl hip hop,Future,91
1RyvyyTE3xzB2ZywiAwp0i,hip hop,Future,91
1RyvyyTE3xzB2ZywiAwp0i,pop rap,Future,91
1RyvyyTE3xzB2ZywiAwp0i,rap,Future,91
1RyvyyTE3xzB2ZywiAwp0i,southern hip hop,Future,91
1RyvyyTE3xzB2ZywiAwp0i,trap,Future,91
73sIBHcqh3Z3NyqHKZ7FOL,atl hip hop,Childish Gambino,81
73sIBHcqh3Z3NyqHKZ7FOL,hip hop,Childish Gambino,81
73sIBHcqh3Z3NyqHKZ7FOL,pop,Childish Gambino,81
73sIBHcqh3Z3NyqHKZ7FOL,pop rap,Childish Gambino,81
73sIBHcqh3Z3NyqHKZ7FOL,rap,Childish Gambino,81
1RyvyyTE3xzB2ZywiAwp0i,atl hip hop,Future,91
1RyvyyTE3xzB2ZywiAwp0i,hip hop,Future,91
1RyvyyTE3xzB2ZywiAwp0i,pop rap,Future,91
1RyvyyTE3xzB2ZywiAwp0i,rap,Future,91
1RyvyyTE3xzB2ZywiAwp0i,southern hip hop,Future,91
1RyvyyTE3xzB2ZywiAwp0i,trap,Future,91
56ZTgzPBDge0OvCGgMO3OY,baltimore indie,Beach House,77
56ZTgzPBDge0OvCGgMO3OY,dream pop,Beach House,77
56ZTgzPBDge0OvCGgMO3OY,dreamo,Beach House,77
56ZTgzPBDge0OvCGgMO3OY,modern dream pop,Beach House,77
39x9e2QDpAxK8xTuJDwRqR,alternative dance,Junior Boys,39
39x9e2QDpAxK8xTuJDwRqR,balearic,Junior Boys,39
39x9e2QDpAxK8xTuJDwRqR,canadian electropop,Junior Boys,39
39x9e2QDpAxK8xTuJDwRqR,chillwave,Junior Boys,39
39x9e2QDpAxK8xTuJDwRqR,electronica,Junior Boys,39
39x9e2QDpAxK8xTuJDwRqR,electropop,Junior Boys,39
39x9e2QDpAxK8xTuJDwRqR,hamilton on indie,Junior Boys,39
39x9e2QDpAxK8xTuJDwRqR,indietronica,Junior Boys,39
39x9e2QDpAxK8xTuJDwRqR,neo-synthpop,Junior Boys,39
39x9e2QDpAxK8xTuJDwRqR,new rave,Junior Boys,39
3TVXtAsR1Inumwj472S9r4,canadian hip hop,Drake,98
3TVXtAsR1Inumwj472S9r4,canadian pop,Drake,98
3TVXtAsR1Inumwj472S9r4,hip hop,Drake,98
3TVXtAsR1Inumwj472S9r4,rap,Drake,98
3TVXtAsR1Inumwj472S9r4,toronto rap,Drake,98
3TVXtAsR1Inumwj472S9r4,canadian hip hop,Drake,98
3TVXtAsR1Inumwj472S9r4,canadian pop,Drake,98
3TVXtAsR1Inumwj472S9r4,hip hop,Drake,98
3TVXtAsR1Inumwj472S9r4,rap,Drake,98
3TVXtAsR1Inumwj472S9r4,toronto rap,Drake,98
5RADpgYLOuS2ZxDq7ggYYH,alternative hip hop,Death Grips,63
5RADpgYLOuS2ZxDq7ggYYH,art pop,Death Grips,63
5RADpgYLOuS2ZxDq7ggYYH,escape room,Death Grips,63
5RADpgYLOuS2ZxDq7ggYYH,experimental hip hop,Death Grips,63
5RADpgYLOuS2ZxDq7ggYYH,hip hop,Death Grips,63
5RADpgYLOuS2ZxDq7ggYYH,industrial hip hop,Death Grips,63
3C8RpaI3Go0yFF9whvKoED,alternative dance,The Avalanches,65
3C8RpaI3Go0yFF9whvKoED,australian alternative rock,The Avalanches,65
3C8RpaI3Go0yFF9whvKoED,australian dance,The Avalanches,65
